id;money;avg_salary;sal_cat;cat_exp;last_job_diff_cat;save_date_diff_cat;kmeans
266282;50000;42576.54700661428;8.0;3;3;2;4
266283;45000;39677.49370992615;6.0;3;3;1;3
266342;42275;56494.485221186274;4.0;3;3;3;3
266385;30000;33389.95968008461;6.0;2;3;2;3
266399;30000;41728.15853658537;4.0;2;4;1;3
266426;12982;19661.62143927133;4.0;1;1;1;1
266439;12982;19661.62143927133;4.0;1;1;1;1
266443;40222;50613.168724279836;4.0;2;4;3;3
266462;30719;40066.91084710743;4.0;3;4;3;4
266464;50000;44668.998830906574;6.0;3;5;3;5
266502;50000;31314.524741901027;10.0;2;3;1;4
266512;54921;68868.73267825649;4.0;3;3;3;3
266514;30000;26432.544378698225;6.0;3;2;3;4
266517;23284;29306.371191135735;4.0;3;5;1;3
266521;60000;68868.73267825649;6.0;2;3;3;4
266538;40000;29306.371191135735;8.0;2;1;3;4
266555;15489;15488.555628124856;6.0;1;1;1;1
266564;35000;52477.810650887564;4.0;2;3;3;3
266567;28677;33527.387935942184;6.0;2;3;3;4
266579;54136;75239.29905199655;4.0;3;4;1;3
266586;15000;15488.555628124856;6.0;1;1;1;2
266590;50000;29306.371191135735;10.0;3;5;3;5
266595;20000;15488.555628124856;8.0;3;1;1;3
266625;25000;31250.0;4.0;2;3;2;3
266669;40000;29566.115702479336;8.0;2;3;3;4
266681;34277;46694.49695442134;4.0;2;3;3;3
266698;90000;50113.53550295858;10.0;3;3;3;5
266703;25000;30079.20447074293;4.0;2;1;2;2
266707;12191;18673.268484144304;4.0;1;1;1;1
266715;39600;52219.023188046376;4.0;2;3;2;3
266720;90000;47133.04826817558;10.0;3;3;3;5
266731;35000;56687.139914484556;4.0;3;5;3;4
266740;50000;47133.04826817558;6.0;3;5;2;4
266750;15000;47133.04826817558;2.0;2;3;1;2
266776;65000;47133.04826817558;8.0;2;3;3;4
266781;43179;56687.139914484556;4.0;2;4;2;3
266811;20588;31487.8892733564;4.0;1;1;1;1
266812;25000;28046.875;6.0;2;3;3;4
266816;50000;37177.02422145329;8.0;2;4;3;5
266818;40000;46948.61171439072;6.0;3;3;2;4
266827;85000;45948.31665765279;10.0;3;3;3;5
266842;20000;17124.744462809922;8.0;1;1;1;3
266859;25000;31943.288241415194;4.0;2;3;2;3
266882;10965;17124.744462809922;4.0;1;1;1;1
266898;40000;46730.19465821639;6.0;3;2;3;4
266901;40000;35950.413223140495;6.0;3;5;3;5
266902;45000;35950.413223140495;8.0;3;3;3;5
266920;30000;46140.29096373198;4.0;2;1;3;2
266924;30959;41684.97587414899;4.0;2;1;3;2
266932;35000;59701.18884316416;4.0;3;4;3;4
266933;25000;26551.24653739612;6.0;2;3;3;4
266939;160000;63965.942891136234;10.0;2;2;3;5
266953;50000;57373.28283113799;6.0;2;2;3;3
266957;28333;43174.60317460318;4.0;3;5;3;4
266959;25000;20952.085625000003;8.0;1;1;1;3
266984;40000;41684.97587414899;6.0;3;3;2;4
266985;70000;58343.21189413265;8.0;3;5;3;5
266986;23158;33256.54296875;4.0;2;4;3;3
267013;70000;22178.389428119215;10.0;3;1;1;4
267016;35844;46683.403688280785;4.0;2;4;3;3
267033;39473;54727.02763118946;4.0;2;1;3;2
267037;50000;58343.21189413265;6.0;3;1;1;3
267040;30000;46683.403688280785;4.0;2;1;3;2
267070;35000;39588.62296219216;6.0;2;4;3;4
267084;40000;42344.79338842975;6.0;2;3;1;3
267092;29928;37734.719596723386;4.0;3;1;1;2
267153;80000;32877.551020408166;10.0;3;4;3;5
267158;11053;17158.952477284125;4.0;1;1;1;1
267165;20000;17158.952477284125;8.0;2;1;2;3
267198;23863;33474.51548229004;4.0;3;5;3;4
267202;60000;44282.330279050395;8.0;2;4;3;5
267243;40000;36485.96453287198;6.0;2;2;2;3
267258;35000;41827.75390625;4.0;3;4;3;4
267274;70000;41827.75390625;10.0;3;2;1;4
267285;65000;40042.152767319414;10.0;2;3;2;5
267313;55000;56878.29762654904;6.0;3;3;2;4
267319;30000;39542.35664683452;4.0;2;2;3;3
267323;60000;46679.188712522046;8.0;3;5;3;5
267326;36700;47710.0;4.0;3;5;3;4
267357;80000;63612.1017251636;8.0;3;3;3;5
267379;35000;34544.4944598338;6.0;2;4;3;4
267385;40000;34403.29218106996;8.0;2;1;2;3
267392;33333;44444.444444444445;4.0;3;3;3;3
267411;35000;56577.20051132213;4.0;2;3;3;3
