<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
AUDCHF,D,20191017,000000,0.6718100,0.6783300,0.6707000,0.6739200
AUDCHF,D,20191018,000000,0.6739400,0.6765300,0.6731000,0.6739000
AUDCHF,D,20191020,000000,0.6729000,0.6753000,0.6721800,0.6744700
AUDCHF,D,20191021,000000,0.6744800,0.6782300,0.6737000,0.6774100
AUDCHF,D,20191022,000000,0.6774500,0.6791500,0.6761000,0.6787400
AUDCHF,D,20191023,000000,0.6787700,0.6792400,0.6755000,0.6784400
AUDCHF,D,20191024,000000,0.6784600,0.6791300,0.6750600,0.6762900
AUDCHF,D,20191025,000000,0.6763800,0.6795000,0.6752000,0.6777900
AUDCHF,D,20191027,000000,0.6777300,0.6788100,0.6748000,0.6783200
AUDCHF,D,20191028,000000,0.6782800,0.6813200,0.6768000,0.6803900
AUDCHF,D,20191029,000000,0.6803900,0.6829200,0.6795000,0.6815200
AUDCHF,D,20191030,000000,0.6815500,0.6832100,0.6795000,0.6820900
AUDCHF,D,20191031,000000,0.6820900,0.6841200,0.6772400,0.6798900
AUDCHF,D,20191101,000000,0.6799300,0.6832900,0.6786000,0.6812600
AUDCHF,D,20191103,000000,0.6800000,0.6823000,0.6799000,0.6816000
AUDCHF,D,20191104,000000,0.6816900,0.6833300,0.6785000,0.6808400
AUDCHF,D,20191105,000000,0.6808600,0.6863600,0.6789000,0.6838100
AUDCHF,D,20191106,000000,0.6838600,0.6856900,0.6810000,0.6824400
AUDCHF,D,20191107,000000,0.6824300,0.6888700,0.6803000,0.6862600
AUDCHF,D,20191108,000000,0.6862700,0.6874700,0.6819000,0.6834400
AUDCHF,D,20191110,000000,0.6823000,0.6843400,0.6821400,0.6837700
AUDCHF,D,20191111,000000,0.6837600,0.6841900,0.6791000,0.6801400
AUDCHF,D,20191112,000000,0.6801400,0.6821200,0.6782000,0.6791500
AUDCHF,D,20191113,000000,0.6791000,0.6804100,0.6744000,0.6768600
AUDCHF,D,20191114,000000,0.6768400,0.6770800,0.6681000,0.6710500
AUDCHF,D,20191115,000000,0.6710500,0.6752800,0.6699000,0.6740500
AUDCHF,D,20191117,000000,0.6743000,0.6749700,0.6718600,0.6739600
AUDCHF,D,20191118,000000,0.6740400,0.6752200,0.6711200,0.6731600
AUDCHF,D,20191119,000000,0.6730400,0.6774600,0.6708000,0.6758800
AUDCHF,D,20191120,000000,0.6759200,0.6772200,0.6717000,0.6732300
AUDCHF,D,20191121,000000,0.6731800,0.6758700,0.6705000,0.6739200
AUDCHF,D,20191122,000000,0.6738800,0.6770400,0.6730000,0.6763300
AUDCHF,D,20191124,000000,0.6760000,0.6779000,0.6759000,0.6775900
AUDCHF,D,20191125,000000,0.6775700,0.6781000,0.6736000,0.6754700
AUDCHF,D,20191126,000000,0.6754700,0.6781200,0.6744000,0.6770500
AUDCHF,D,20191127,000000,0.6770600,0.6780200,0.6742000,0.6758800
AUDCHF,D,20191128,000000,0.6758300,0.6766500,0.6744000,0.6757500
AUDCHF,D,20191129,000000,0.6757600,0.6780300,0.6744000,0.6754300
AUDCHF,D,20191201,000000,0.6759000,0.6772000,0.6752000,0.6765100
AUDCHF,D,20191202,000000,0.6766100,0.6788900,0.6748000,0.6759400
AUDCHF,D,20191203,000000,0.6758500,0.6795600,0.6734000,0.6762000
AUDCHF,D,20191204,000000,0.6763100,0.6783500,0.6710000,0.6768700
AUDCHF,D,20191205,000000,0.6768700,0.6775200,0.6733000,0.6744900
AUDCHF,D,20191206,000000,0.6744900,0.6780800,0.6735000,0.6767800
AUDCHF,D,20191208,000000,0.6759000,0.6773100,0.6753000,0.6771300
AUDCHF,D,20191209,000000,0.6771500,0.6772900,0.6728000,0.6742400
AUDCHF,D,20191210,000000,0.6743500,0.6753100,0.6690000,0.6705600
AUDCHF,D,20191211,000000,0.6705400,0.6773000,0.6691000,0.6748700
AUDCHF,D,20191212,000000,0.6749800,0.6839800,0.6741000,0.6822100
AUDCHF,D,20191213,000000,0.6822000,0.6830500,0.6741000,0.6760000
AUDCHF,D,20191215,000000,0.6747000,0.6776000,0.6747000,0.6763900
AUDCHF,D,20191216,000000,0.6763900,0.6785300,0.6742000,0.6757400
AUDCHF,D,20191217,000000,0.6757400,0.6763000,0.6699000,0.6712800
AUDCHF,D,20191218,000000,0.6712800,0.6734300,0.6699000,0.6718400
AUDCHF,D,20191219,000000,0.6718400,0.6747600,0.6710000,0.6740400
AUDCHF,D,20191220,000000,0.6740600,0.6787400,0.6729000,0.6777400
AUDCHF,D,20191222,000000,0.6748000,0.6783100,0.6748000,0.6782700
AUDCHF,D,20191223,000000,0.6782600,0.6798000,0.6768000,0.6797100
AUDCHF,D,20191224,000000,0.6797100,0.6803500,0.6767700,0.6782000
AUDCHF,D,20191225,000000,0.6781000,0.6796600,0.6754300,0.6783500
AUDCHF,D,20191226,000000,0.6783100,0.6820600,0.6777000,0.6813500
AUDCHF,D,20191227,000000,0.6817900,0.6820400,0.6779000,0.6802000
AUDCHF,D,20191229,000000,0.6793000,0.6816100,0.6783000,0.6799100
AUDCHF,D,20191230,000000,0.6799100,0.6808700,0.6764000,0.6781800
AUDCHF,D,20191231,000000,0.6782100,0.6813800,0.6765100,0.6781300
AUDCHF,D,20200101,000000,0.6783500,0.6816300,0.6749000,0.6792100
AUDCHF,D,20200102,000000,0.6792200,0.6796500,0.6768000,0.6783900
AUDCHF,D,20200103,000000,0.6783900,0.6785000,0.6731500,0.6754800
AUDCHF,D,20200105,000000,0.6746000,0.6750000,0.6721000,0.6744900
AUDCHF,D,20200106,000000,0.6745700,0.6757400,0.6701000,0.6718200
