<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
07/06/19;00:00;54.8000000;55.6000000;54.5000000;54.6000000;13500
10/06/19;00:00;54.8000000;54.9000000;53.9000000;54.0000000;28300
11/06/19;00:00;54.0000000;55.0000000;53.8000000;54.4000000;22500
13/06/19;00:00;55.1000000;55.2000000;54.2000000;54.5000000;9300
14/06/19;00:00;54.8000000;54.8000000;54.2000000;54.5000000;8300
17/06/19;00:00;54.4000000;55.0000000;54.1000000;54.7000000;10500
18/06/19;00:00;55.0000000;56.5000000;54.6000000;55.6000000;71300
19/06/19;00:00;55.9000000;55.9000000;54.5000000;55.2000000;45300
20/06/19;00:00;54.7000000;55.7000000;54.3000000;55.4000000;33700
21/06/19;00:00;55.2000000;57.0000000;54.4000000;55.3000000;68700
24/06/19;00:00;56.4000000;56.4000000;55.0000000;55.8000000;25900
25/06/19;00:00;55.8000000;57.8000000;55.0000000;56.7000000;36700
26/06/19;00:00;56.9000000;59.6000000;55.4000000;59.0000000;53100
27/06/19;00:00;57.1000000;60.9000000;57.1000000;58.3000000;46500
28/06/19;00:00;58.8000000;61.9000000;58.0000000;59.2000000;76900
01/07/19;00:00;59.4000000;61.5000000;59.4000000;60.0000000;13800
02/07/19;00:00;59.1000000;60.0000000;58.9000000;60.0000000;8400
03/07/19;00:00;59.8000000;59.8000000;58.1000000;58.1000000;10300
04/07/19;00:00;58.8000000;58.8000000;57.6000000;58.6000000;37800
05/07/19;00:00;58.5000000;58.9000000;58.0000000;58.8000000;7800
08/07/19;00:00;58.4000000;58.9000000;58.1000000;58.1000000;3900
09/07/19;00:00;58.6000000;58.6000000;57.3000000;57.8000000;5700
10/07/19;00:00;58.2000000;58.2000000;56.8000000;57.3000000;13800
11/07/19;00:00;56.5000000;57.2000000;55.3000000;56.3000000;50100
12/07/19;00:00;55.8000000;56.5000000;55.7000000;56.1000000;43200
15/07/19;00:00;56.3000000;56.3000000;55.7000000;56.3000000;23500
16/07/19;00:00;56.2000000;56.2000000;54.0000000;54.6000000;78100
17/07/19;00:00;54.4000000;56.8000000;54.1000000;55.4000000;46000
18/07/19;00:00;55.7000000;55.8000000;55.0000000;55.0000000;8400
19/07/19;00:00;55.1000000;56.2000000;55.1000000;55.3000000;12300
22/07/19;00:00;55.6000000;55.9000000;54.9000000;55.0000000;15400
23/07/19;00:00;55.5000000;57.5000000;55.1000000;57.3000000;113400
24/07/19;00:00;57.4000000;57.8000000;56.4000000;57.0000000;12600
25/07/19;00:00;56.4000000;56.5000000;55.8000000;56.4000000;14900
26/07/19;00:00;56.6000000;57.7000000;56.0000000;56.4000000;17500
29/07/19;00:00;56.2000000;56.8000000;56.0000000;56.0000000;6400
30/07/19;00:00;56.5000000;56.5000000;55.8000000;56.4000000;11000
31/07/19;00:00;56.8000000;56.8000000;55.8000000;56.5000000;18000
01/08/19;00:00;56.0000000;58.2000000;56.0000000;56.6000000;19600
02/08/19;00:00;56.1000000;56.8000000;55.1000000;55.4000000;37300
05/08/19;00:00;55.2000000;55.9000000;55.0000000;55.1000000;15500
06/08/19;00:00;55.1000000;56.5000000;55.1000000;56.2000000;17300
07/08/19;00:00;56.2000000;56.3000000;55.7000000;56.2000000;5100
08/08/19;00:00;56.4000000;56.5000000;55.7000000;56.4000000;4800
09/08/19;00:00;56.2000000;56.2000000;53.2000000;54.5000000;75700
12/08/19;00:00;54.4000000;55.2000000;54.0000000;54.6000000;28400
13/08/19;00:00;54.5000000;54.5000000;53.0000000;54.1000000;68300
14/08/19;00:00;53.6000000;55.8000000;53.6000000;55.8000000;63800
15/08/19;00:00;55.6000000;55.6000000;53.5000000;53.7000000;32400
16/08/19;00:00;54.4000000;54.4000000;52.7000000;53.3000000;44800
19/08/19;00:00;53.5000000;54.3000000;52.8000000;54.3000000;49200
20/08/19;00:00;53.6000000;54.7000000;53.4000000;54.6000000;13900
21/08/19;00:00;55.4000000;56.1000000;54.6000000;55.4000000;24100
22/08/19;00:00;56.1000000;57.1000000;55.5000000;56.2000000;32000
23/08/19;00:00;56.6000000;56.9000000;54.8000000;55.2000000;10900
26/08/19;00:00;54.9000000;55.2000000;54.0000000;54.8000000;9600
